,Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Type_D,Fuel Type_E,Fuel Type_N,Fuel Type_X,Fuel Type_Z
180,-0.9975964023226577,-0.8769341163215539,-0.9563012161273262,0.9094851616563394,0,0,0,1,0
3871,-1.290616804636697,-0.8769341163215539,-1.092049000031017,1.185547482178427,0,0,0,1,0
2399,1.0535464138756174,1.2897915940941798,0.9781047045002687,-1.022951081998274,0,0,0,0,1
2951,-0.4848106982730888,-0.8769341163215539,0.0957441091262783,-0.3327952806930549,0,0,0,1,0
4832,0.24774030751200957,0.20642873888631294,-0.9902381621032489,1.047516321917383,0,0,0,0,1
278,0.32099540809051946,0.20642873888631294,1.860465299874259,-1.4370445627814052,0,1,0,0,0
3718,0.6140158104045588,1.2897915940941798,0.604798298765119,-0.7468887614761863,0,0,0,0,1
3493,0.3942505086690294,0.20642873888631294,0.1636180010781235,-0.3327952806930549,0,0,0,0,1
1204,-0.851086201165638,-0.8769341163215539,-0.3114992425847946,0.08129820009007653,0,0,0,1,0
2318,-0.5580657988515988,-0.8769341163215539,-0.34543618856071723,0.08129820009007653,0,0,0,1,0
432,0.3942505086690294,0.20642873888631294,0.027870217174432513,-0.3327952806930549,0,0,0,0,1
289,-1.290616804636697,-0.8769341163215539,-1.431418459790244,2.01373444374469,0,0,0,1,0
1027,-0.11853519538053964,0.20642873888631294,-0.00606672880149008,-0.19476412043201108,0,0,0,0,1
535,1.3465668161896571,1.2897915940941798,1.4871588941391094,-1.2990134025203615,0,0,0,0,1
1559,-1.4371270057937169,-1.4186155439254873,-1.5671662436939346,2.2897967642667774,0,0,0,1,0
993,-0.851086201165638,-0.8769341163215539,-0.6848056483199443,0.49539168087320795,0,0,0,0,1
1187,0.32099540809051946,0.20642873888631294,1.826528353898336,-1.4370445627814052,0,1,0,0,0
188,0.32099540809051946,0.20642873888631294,0.5369244068132732,-0.7468887614761863,0,0,0,1,0
2764,-0.851086201165638,-0.8769341163215539,-0.9223642701514031,0.9094851616563394,0,0,0,1,0
5510,0.32099540809051946,0.20642873888631294,0.26542883900589187,-0.4708264409540987,0,0,0,1,0
2323,0.32099540809051946,0.20642873888631294,0.0957441091262783,-0.3327952806930549,0,0,0,1,0
3907,1.3465668161896571,1.2897915940941798,0.9441677585243461,-1.022951081998274,0,0,0,1,0
706,-0.851086201165638,-0.8769341163215539,-0.8205534322236353,0.7714540013952955,0,0,0,1,0
3550,-0.11853519538053964,0.20642873888631294,-0.4133100805125624,0.21932936035112033,0,0,0,0,1
270,-0.5580657988515988,-0.8769341163215539,-0.6169317563680992,0.49539168087320795,0,0,0,1,0
5352,0.8337811121400881,0.20642873888631294,1.2835372182835731,-1.1609822422593177,0,0,0,1,0
4795,-1.1441066034796774,-0.8769341163215539,-1.193859837958785,1.4616098027005147,0,0,0,1,0
3176,-0.5580657988515988,-0.8769341163215539,-0.6848056483199443,0.49539168087320795,0,0,0,1,0
2669,-0.9975964023226577,-0.8769341163215539,-1.1259859460069395,1.3235786424394709,0,0,0,1,0
2741,-0.9975964023226577,-0.8769341163215539,-1.0241751080791714,1.047516321917383,0,0,0,1,0
